Key,Chord_Progression,ChordName,Voicing,Emotion,Scale,File_Path
Bb,V7-#IVm7b5-IVm7-IIIm7,F7-Em7b5-Ebm7-Dm7,Four-Way Close,"Joyful, Quaint, Cheerful",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/A#:Bb.mid
A,V7-#IVm7b5-IVm7-IIIm7,E7-Ebm7b5-Dm7-Dbm7,Four-Way Close,"Joyful, Pastoral, Declaration of Love",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/A.mid
B,V7-#IVm7b5-IVm7-IIIm7,F#7-Fm7b5-Em7-Ebm7,Four-Way Close,"Harsh, Strong, Wild, Rage",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/B:Cb.mid
Db,V7-#IVm7b5-IVm7-IIIm7,Ab7-Gm7b5-F#m7-Fm7,Four-Way Close,"Grief, Depressive",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/C#:Db.mid
C,V7-#IVm7b5-IVm7-IIIm7,G7-F#m7b5-Fm7-Em7,Four-Way Close,Innocently Happy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/C:B#.mid
Eb,V7-#IVm7b5-IVm7-IIIm7,Bb7-Am7b5-Abm7-Gm7,Four-Way Close,"Cruel, Hard, Yet Full of Devotion",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/D#:Eb.mid
D,V7-#IVm7b5-IVm7-IIIm7,A7-Abm7b5-Gm7-F#m7,Four-Way Close,"Triumphant, Victorious War-Cries",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/D.mid
E,V7-#IVm7b5-IVm7-IIIm7,B7-Bbm7b5-Am7-Abm7,Four-Way Close,"Quarrelsome, Boisterous, Incomplete Pleasure",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/E:Fb.mid
F#,V7-#IVm7b5-IVm7-IIIm7,Db7-Cm7b5-Bm7-Bbm7,Four-Way Close,"Conquering Difficulties, Sighs of Relief",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/F#:Gb.mid
F,V7-#IVm7b5-IVm7-IIIm7,C7-Bm7b5-Bbm7-Am7,Four-Way Close,"Furious, Quick-Tempered, Passing Regret",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/F:E#.mid
Ab,V7-#IVm7b5-IVm7-IIIm7,Eb7-Dm7b5-Dbm7-Cm7,Four-Way Close,"Death, Eternity, Judgement",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/G#:Ab.mid
G,V7-#IVm7b5-IVm7-IIIm7,D7-Dbm7b5-Cm7-Bm7,Four-Way Close,"Serious, Magnificent, Fantasy",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/FourWayClose/G.mid
Bb,V7-#IVm7b5-IVm7-IIIm7,F7-Em7b5-Ebm7-Dm7,Drop 2,"Joyful, Quaint, Cheerful",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/A#:Bb.mid
A,V7-#IVm7b5-IVm7-IIIm7,E7-Ebm7b5-Dm7-Dbm7,Drop 2,"Joyful, Pastoral, Declaration of Love",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/A.mid
B,V7-#IVm7b5-IVm7-IIIm7,F#7-Fm7b5-Em7-Ebm7,Drop 2,"Harsh, Strong, Wild, Rage",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/B:Cb.mid
Db,V7-#IVm7b5-IVm7-IIIm7,Ab7-Gm7b5-F#m7-Fm7,Drop 2,"Grief, Depressive",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/C#:Db.mid
C,V7-#IVm7b5-IVm7-IIIm7,G7-F#m7b5-Fm7-Em7,Drop 2,Innocently Happy,Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/C:B#.mid
Eb,V7-#IVm7b5-IVm7-IIIm7,Bb7-Am7b5-Abm7-Gm7,Drop 2,"Cruel, Hard, Yet Full of Devotion",Ionian,Dataset/Deceptive_Resolution/Primary/V7 - #IVm7b5 - IVm7 - IIIm7/DropTwo/D#:Eb.mid
